fecha_hora,precio_bolsa,demanda,generacion,volumen_embalses,aportes_hidricos,es_pandemia,oni,precio_lag24h,precio_lag168h,precio_media_24h,precio_media_7d,precio_media_30d,hora,hora_sin,hora_cos,dia_semana,dia_semana_sin,dia_semana_cos,dia_anio,dia_anio_sin,dia_anio_cos,volumen_embalses_delta_1d,volumen_embalses_delta_7d,volumen_embalses_media_7d,volumen_embalses_media_30d,volumen_embalses_vs_media30d,aportes_hidricos_delta_1d,aportes_hidricos_delta_7d,aportes_hidricos_media_7d,aportes_hidricos_media_30d,aportes_hidricos_vs_media30d,precio_std_24h,precio_std_7d,precio_rango_24h,ratio_volatilidad,demanda_lag24h,demanda_lag48h,demanda_lag72h,demanda_media_24h,es_festivo,festivo_lag24h,festivo_lag48h,festivo_lag72h,festivo_lag168h,mismatch_festivo_24h,mismatch_festivo_168h
2026-01-01 00:00:00,327.90985,8334369.68,8518585.3,13564549400.0,132489587.33,0,-0.6,271.30327,190.85788,298.107235,271.5221294642857,278.6079628611111,0,0.0,1.0,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-41947800.0,-291252700.0,13735249969.345238,14109932413.194445,0.9613475814608121,4196564.120000005,-10223642.39,141251615.20931548,182210604.11477777,0.7271233635038189,20.374137625952546,67.60673012425774,56.40392000000003,0.30136256536155376,8983188.76,9040326.34,8784066.37,9687487.302083334,1,0,0,0,1,1,0
2026-01-01 01:00:00,307.90985,8268581.14,8457018.23,13564549400.0,132489587.33,0,-0.5997311827956989,271.30327,200.85788,297.67373833333335,271.6567075,278.60313105555554,1,0.25881904510252074,0.9659258262890683,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-40199975.0,-291113462.5,13733517151.116072,14108720476.53935,0.9614301610522212,4021707.281666681,-11226469.545416668,141184790.98583084,181991977.12646237,0.727996856905048,20.843523789445978,67.5835155122339,56.40392000000003,0.30841135788020535,8615759.31,8706014.15,8466900.47,9683726.683750002,1,0,0,0,1,1,0
2026-01-01 02:00:00,296.32185,8148820.81,8331631.01,13564549400.0,132489587.33,0,-0.5994623655913979,271.30327,210.85788,297.2402416666667,271.7912855357143,278.59829925,2,0.49999999999999994,0.8660254037844387,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-38452150.0,-290974225.0,13731785161.681547,14107506990.17361,0.961512860454239,3846850.4433333427,-12229296.700833336,141111997.5530878,181774822.63627604,0.7288665471296112,21.293362918693923,67.56002324225429,56.40392000000003,0.31517696260021927,8380341.69,8415620.36,8238985.61,9682256.739166668,1,0,0,0,1,1,0
2026-01-01 03:00:00,296.32185,7994492.52,8176273.02,13564549400.0,132489587.33,0,-0.5991935483870967,271.30327,210.85788,296.80674500000003,271.9258635714286,278.59346744444446,3,0.7071067811865476,0.7071067811865476,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-36704325.0,-290834987.5,13730054001.041666,14106291954.097221,0.9615956797250413,3671993.605000004,-13232123.856250003,141033234.91108632,181559140.64421874,0.7297323993707654,21.724869281063164,67.5362530245716,56.40392000000003,0.3216771483185341,8182549.15,8277441.1,8142956.55,9678302.907916667,1,0,0,0,1,1,0
2026-01-01 04:00:00,296.32185,7865140.3,8042190.81,13564549400.0,132489587.33,0,-0.5989247311827957,271.30327,210.85788,296.3732483333334,272.0604416071429,278.5886356388889,4,0.8660254037844386,0.5000000000000001,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-34956500.0,-290695750.0,13728323669.196428,14105075368.310183,0.9616786189229034,3497136.7666666806,-14234951.01166667,140948503.0598264,181344931.15029052,0.7305943788425969,22.13911485668337,67.5122045655999,56.40392000000003,0.32792759470876637,8158977.59,8320949.85,8202724.75,9671554.06375,1,0,0,0,1,1,0
2026-01-01 05:00:00,296.32185,7757108.82,7928634.55,13564549400.0,132489587.33,0,-0.5986559139784946,271.30327,200.85788,295.93975166666667,272.1950196428572,278.5838038333334,5,0.9659258262890683,0.25881904510252074,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-33208675.0,-290556512.5,13726594166.145834,14103857232.8125,0.9617616781061988,3322279.928333342,-15237778.167083338,140857801.99930802,181132194.1544913,0.7314524507829732,22.53705145891136,67.48787756789584,56.40392000000003,0.33394221704835914,8241805.8,8467022.08,8420250.51,9662170.052083334,1,0,0,0,1,1,0
2026-01-01 06:00:00,296.32185,7362896.72,7501128.23,13564549400.0,132489587.33,0,-0.5983870967741935,271.30327,190.85788,294.42288,272.3295976785714,278.55119425,6,1.0,6.123233995736766e-17,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-31460850.0,-290417275.0,13724865491.889881,14102637547.604166,0.9618448573334015,3147423.0900000036,-16240605.322500005,140761131.72953123,180920929.6568212,0.7323065804565126,22.932195263663147,67.46327173013937,56.40392000000003,0.339921184898866,8196045.92,8564823.61,8547905.84,9646804.315,1,0,0,0,1,1,0
2026-01-01 07:00:00,296.32185,7208279.14,7327605.35,13564549400.0,132489587.33,0,-0.5981182795698925,271.30327,121.86188,293.98938333333336,272.4641757142857,278.51858466666664,7,0.9659258262890683,-0.25881904510252063,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-29713025.0,-290278037.5,13723137646.428572,14101416312.685183,0.961928156663084,2972566.25166668,-17243432.477916673,140658492.25049603,180711137.6572801,0.7331567331575733,23.278732466598136,67.43838674711446,56.40392000000003,0.3451851918387443,8486540.94,9049051.24,8994523.88,9623366.385833332,1,0,0,0,1,1,0
2026-01-01 08:00:00,272.90985,7290792.12,7391857.86,13564549400.0,132489587.33,0,-0.5978494623655913,270.30327,115.41988,293.51421999999997,272.6350632738095,278.48458619444443,8,0.8660254037844387,-0.4999999999999998,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-27965200.0,-290138800.0,13721410629.761906,14100193528.055555,0.9620115761539181,2797709.4133333415,-18246259.63333334,140549883.5622024,180502818.15586805,0.7340028742132568,23.653703476829648,67.3960551978852,57.40392000000003,0.35096569684054546,8847365.76,9495210.88,9411006.88,9596372.839166667,1,0,0,0,1,1,0
2026-01-01 09:00:00,104.99185,7381988.16,7468771.46,13564549400.0,132489587.33,0,-0.5975806451612903,270.30327,115.41988,293.0390566666667,272.80595083333327,278.4505877222222,9,0.7071067811865476,-0.7071067811865475,3,0.43388373911755823,-0.900968867902419,1,0.017201575418260506,0.9998520419557735,-26217375.0,-289999562.5,13719684441.889881,14098969193.715279,0.9620951158646761,2622852.575000003,-19249086.788750008,140435305.6646503,180295971.15258506,0.7348449689864319,24.013013089596566,67.35326087556682,57.40392000000003,0.35652339289050766,9102261.86,9746829.83,9710030.85,9569515.840416666,1,0,0,0,1,1,0
