modelo,MAE_medio,CV,rMAE_medio,gana_sig,pierde_sig
ARX+GARCH,59.90129523105569,0.4778135481891081,1.4332478366788797,0,4
N-BEATSx,49.877997043357574,0.6359046074152507,1.0579624922603041,1,1
N-HiTS,54.85724217605473,0.530433325810746,1.355002528414924,1,1
Persistencia,49.81868330699962,0.6488918860137652,1.0,0,0
XGBoost,72.13845188289447,0.7153682854377769,1.3973502910285884,0,6
