tramo,MAE,RMSE,MAPE,sMAPE,MAE_persistencia,MAPE_persistencia,rMAE,DM_t,DM_p_unilateral,n
1-24 h,40.826917129694,85.10854666888282,10.56790031782391,9.867480091069513,55.67076139018692,15.824909233137575,0.7333637282871895,6.770337449142571,6.424118288630123e-12,5136
25-48 h,62.56041832550559,106.5970893123458,18.294101333638213,16.525643657003073,79.84152079439252,22.777202676183414,0.783557448593832,5.798790997943748,3.3397358202332044e-09,5136
49-72 h,72.86871105655062,119.86730476291937,21.6936689570253,19.440433405277936,94.10033925233645,26.97915783764641,0.7743724585428775,6.186402264326983,3.0776408554127114e-10,5136
Global 1-72 h,58.752015503916745,104.84047392281319,16.85189020282914,15.277852384450174,76.53754047897198,21.86042324898913,0.7676235104531266,10.514485545241179,3.7042007173070024e-26,15408
